Area_Criadora_Evento,Area_Solucionadora,UF,Segmentacao_Cliente,Nivel_1,Nivel_2,Nivel_3,Acao_Resolucao,contrato,Nome_tecnologia_aparelho
Area_3,Area_4,MG,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_2,RJ,Seg_2,N1_1,N2_9,N3_27,AR_5,Contr_3,GSM
Area_3,Area_1,RJ,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_24,Area_7,SC,Seg_6,N1_1,N2_6,N3_8,AR_1,Contr_2,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,RJ,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_20,Area_1,SP,Seg_4,N1_1,N2_6,N3_14,AR_9,Contr_2,GSM
Area_13,Area_4,SP,Seg_2,N1_2,N2_2,N3_37,AR_1,Contr_2,GSM
Area_3,Area_4,SP,Seg_1,N1_2,N2_5,N3_5,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_4,RJ,Seg_2,N1_2,N2_5,N3_2,AR_1,Contr_3,GSM
Area_25,Area_1,SP,Seg_1,N1_1,N2_1,N3_1,AR_15,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_11,MG,Seg_1,N1_1,N2_1,N3_2,AR_6,Contr_1,3G - WCDMA (UMTS)
Area_13,Area_4,CE,Seg_4,N1_2,N2_2,N3_37,AR_2,Contr_2,GSM
Area_3,Area_4,SP,Seg_1,N1_2,N2_2,N3_2,AR_1,Contr_2,Outras
Area_3,Area_1,MG,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_2,RJ,Seg_1,N1_1,N2_1,N3_2,AR_14,Contr_2,3G - WCDMA (UMTS)
Area_22,Area_15,ES,Seg_15,N1_8,N2_4,N3_16,AR_15,Contr_2,GSM
Area_3,Area_1,RJ,Seg_2,N1_1,N2_6,N3_14,AR_1,Contr_3,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_13,Area_4,SP,Seg_4,N1_2,N2_2,N3_2,AR_9,Contr_2,GSM
Area_3,Area_4,SP,Seg_2,N1_2,N2_5,N3_2,AR_1,Contr_3,GSM
Area_3,Area_2,SP,Seg_2,N1_1,N2_1,N3_2,AR_2,Contr_3,GSM
Area_26,Area_1,PR,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_1,N2_9,N3_10,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_9,Area_1,RS,Seg_2,N1_1,N2_1,N3_38,AR_1,Contr_2,GSM
Area_17,Area_1,RN,Seg_7,N1_6,N2_12,N3_18,AR_7,Contr_5,GSM
Area_23,Area_1,RS,Seg_16,N1_1,N2_6,N3_25,AR_9,Contr_1,GSM
Area_9,Area_1,RS,Seg_2,N1_1,N2_1,N3_38,AR_3,Contr_2,GSM
Area_23,Area_1,RS,Seg_16,N1_1,N2_6,N3_25,AR_9,Contr_1,GSM
Area_27,Area_3,SP,Seg_2,N1_1,N2_16,N3_27,AR_7,Contr_2,GSM
Area_17,Area_1,CE,Seg_7,N1_6,N2_12,N3_18,AR_7,Contr_5,GSM
Area_23,Area_1,RS,Seg_16,N1_1,N2_6,N3_25,AR_6,Contr_3,GSM
Area_28,Area_4,ES,Seg_14,N1_10,N2_17,N3_39,AR_11,Contr_2,GSM
Area_3,Area_2,MT,Seg_2,N1_10,N2_17,N3_39,AR_14,Contr_2,GSM
Area_15,Area_8,RJ,Seg_2,N1_5,N2_11,N3_17,AR_11,Contr_2,GSM
Area_14,Area_16,BA,Seg_8,N1_1,N2_6,N3_14,AR_1,Contr_1,GSM
Area_3,Area_1,PA,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,DF,Seg_1,N1_1,N2_9,N3_15,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_19,Area_11,MG,Seg_4,N1_1,N2_1,N3_2,AR_6,Contr_2,GSM
Area_7,Area_1,RJ,Seg_1,N1_1,N2_9,N3_15,AR_5,Contr_1,3G - WCDMA (UMTS)
Area_29,Area_8,SP,Seg_2,N1_11,N2_18,N3_40,AR_7,Contr_5,GSM
Area_3,Area_4,ES,Seg_2,N1_2,N2_5,N3_20,AR_2,Contr_3,GSM
Area_19,Area_4,RJ,Seg_2,N1_2,N2_5,N3_2,AR_1,Contr_2,GSM
Area_14,Area_1,SP,Seg_8,N1_1,N2_4,N3_16,AR_3,Contr_3,GSM
Area_9,Area_5,SP,Seg_2,N1_1,N2_6,N3_14,AR_6,Contr_2,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_14,Area_1,RS,Seg_8,N1_1,N2_4,N3_16,AR_3,Contr_2,GSM
Area_30,Area_2,SP,Seg_16,N1_1,N2_1,N3_2,AR_5,Contr_3,GSM
Area_14,Area_1,MG,Seg_8,N1_1,N2_9,N3_27,AR_2,Contr_3,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_6,N3_8,AR_6,Contr_1,3G - WCDMA (UMTS)
Area_29,Area_8,SP,Seg_2,N1_11,N2_18,N3_40,AR_7,Contr_5,GSM
Area_19,Area_1,MG,Seg_4,N1_1,N2_4,N3_16,AR_2,Contr_2,GSM
Area_29,Area_8,RS,Seg_2,N1_11,N2_18,N3_40,AR_7,Contr_5,GSM
Area_3,Area_6,SP,Seg_2,N1_1,N2_1,N3_2,AR_1,Contr_3,GSM
Area_3,Area_2,MG,Seg_2,N1_1,N2_6,N3_14,AR_8,Contr_3,GSM
Area_14,Area_1,MG,Seg_8,N1_1,N2_6,N3_14,AR_9,Contr_3,GSM
Area_12,Area_4,CE,Seg_7,N1_2,N2_10,N3_3,AR_3,Contr_3,GSM
Area_20,Area_1,MG,Seg_4,N1_1,N2_6,N3_14,AR_1,Contr_2,GSM
Area_3,Area_1,MG,Seg_1,N1_1,N2_6,N3_41,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_5,SP,Seg_1,N1_1,N2_9,N3_10,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_31,Area_1,BA,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_14,Area_1,SP,Seg_8,N1_1,N2_4,N3_16,AR_3,Contr_3,GSM
Area_7,Area_1,RS,Seg_1,N1_1,N2_4,N3_16,AR_3,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,MG,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_12,Area_1,PB,Seg_7,N1_1,N2_10,N3_13,AR_7,Contr_3,GSM
Area_3,Area_4,MG,Seg_1,N1_2,N2_5,N3_5,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,BA,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_28,Area_1,RS,Seg_1,N1_1,N2_1,N3_2,AR_6,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_2,N1_1,N2_1,N3_2,AR_1,Contr_3,GSM
Area_8,Area_1,MG,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,BA,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
